Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Icon
DesignOps,design-operations,649980ff9d79302feded07bc,6499820aa5a5d814dec627b6,Mon Jun 26 2023 12:18:18 GMT+0000 (Coordinated Universal Time),Sun Jul 02 2023 04:42:24 GMT+0000 (Coordinated Universal Time),Sun Jul 02 2023 09:09:37 GMT+0000 (Coordinated Universal Time),
Design Strategy,design-strategy,649980ff9d79302feded07bc,6499825c9b48cef78452be6a,Mon Jun 26 2023 12:19:40 GMT+0000 (Coordinated Universal Time),Mon Jun 26 2023 12:19:40 GMT+0000 (Coordinated Universal Time),Sun Jul 02 2023 00:47:22 GMT+0000 (Coordinated Universal Time),
Product Design,product-design,649980ff9d79302feded07bc,649981bf979306f7e73e1293,Mon Jun 26 2023 12:17:03 GMT+0000 (Coordinated Universal Time),Mon Jun 26 2023 12:17:03 GMT+0000 (Coordinated Universal Time),Sun Jul 02 2023 00:47:22 GMT+0000 (Coordinated Universal Time),
Service Design,service-design,649980ff9d79302feded07bc,649981ea13c4ae0865175e08,Mon Jun 26 2023 12:17:46 GMT+0000 (Coordinated Universal Time),Mon Jun 26 2023 12:17:46 GMT+0000 (Coordinated Universal Time),Sun Jul 02 2023 00:47:22 GMT+0000 (Coordinated Universal Time),
